Date,Total Volume,Trade Count,Total PnL,Avg PnL,LS Ratio,value,classification
5/1/2023,477,3,0,0,3000000000,63,Greed
12/5/2023,50005.83,9,0,0,3.499999998,75,Extreme Greed
12/14/2023,113203.35,11,-205.434737,-18.67588518,0.8333333331944445,72,Greed
12/15/2023,10609.95,2,-24.632034,-12.316017,1999999999.9999998,70,Greed
12/16/2023,15348.77,3,0,0,3000000000,67,Greed
12/17/2023,116278.02,14,304.982785,21.78448464285714,0.2727272727024793,73,Greed
12/18/2023,31164.179999999997,2,0,0,1999999999.9999998,65,Greed
12/19/2023,91602.41,15,1000.5386120000001,66.70257413333334,0.5,73,Greed
12/20/2023,141636.79,18,162.732282,9.040682333333333,1.24999999984375,74,Greed
12/21/2023,125233.97,49,537.211402,10.963498000000001,0.8148148147846365,70,Greed
12/22/2023,88874.28,10,141.832675,14.1832675,3.999999998,74,Greed
12/23/2023,78438.25,13,146.936704,11.302823384615383,0.624999999921875,70,Greed
12/24/2023,402954.94,39,1008.619956,25.862050153846155,1.166666666601852,71,Greed
12/25/2023,59948.51,3,-245.081348,-81.69378267,1.9999999979999998,73,Greed
12/27/2023,171411.06,28,-704.889227,-25.17461525,1.1538461537573965,73,Greed
12/28/2023,100117.25,23,-970.730876,-42.20569026,0.7692307691715976,73,Greed
12/29/2023,569559.72,50,508.92214299999995,10.178442859999999,1.6315789472825484,65,Greed
12/30/2023,702550.21,52,354.998648,6.826897076923077,0.6249999999804688,68,Greed
1/1/2024,264239.52999999997,18,-129.53146,-7.196192222,1.24999999984375,65,Greed
1/2/2024,121348.74,17,783.979116,46.11641858823529,1.124999999859375,71,Greed
1/3/2024,394499.36,67,866.015507,12.925604582089552,0.9142857142595919,70,Greed
1/4/2024,99792.54000000001,5,-67.60364,-13.520728,0.6666666664444444,68,Greed
1/5/2024,1703942.66,66,164.141565,2.486993409090909,0.8857142856889797,72,Greed
1/6/2024,298521.4,22,135.58166400000002,6.16280290909091,0.9999999999090909,70,Greed
1/7/2024,1048850.06,97,-835.681235,-8.615270464,1.1555555555298767,71,Greed
1/8/2024,1522452.43,128,-269.874439,-2.108394055,0.4545454545402892,71,Greed
1/9/2024,870051.97,70,-826.349863,-11.80499804,0.6666666666507937,76,Extreme Greed
